,,,,,
Haltech Pricing - January 2026,,,,,
USD,Category,Subcategory,,Price (USD),
CAN Expansion,,,,,
HT-159000,CAN Expansion,CAN Hubs,HT-159000 Elite CAN HUB 4 Port DTM-4,$ 125.00,9356450007498
HT-011501,CAN Expansion,CAN Keypads,HT-011501 Haltech Keypad 2 x 4,$ 360.00,9356450001373
HT-011502,CAN Expansion,CAN Keypads,HT-011502 Haltech CAN Keypad 3 x 5,$ 435.00,9356450008792
HT-011310,CAN Expansion,GPS and Wi-Fi Modules,HT-011310 GPS Speed Input Module Length: 300mm,$ 130.00,9356450001342
HT-011400,CAN Expansion,GPS and Wi-Fi Modules,HT-011400 Wi-Fi Antenna 108mm 2.4Ghz - Suits Nexus Series Length: 108mm,$ 21.00,9356450001359
HT-011401,CAN Expansion,GPS and Wi-Fi Modules,HT-011401 Wi-Fi  Antenna Glass Mount 2.4Ghz - Suits Nexus Series,$ 26.00,9356450001366
HT-059900,CAN Expansion,IO Expander Boxes,HT-059900 IO 12 Expander Box A - CAN Based 12 Channel - BOX Only,$ 370.00,9356450004503
HT-059901,CAN Expansion,IO Expander Boxes,HT-059901 IO 12 Expander Box B - CAN Based 12 Channel - BOX Only,$ 370.00,9356450004510
HT-059902,CAN Expansion,IO Expander Boxes,HT-059902 IO 12 Expander Box A - CAN Based 12 Channel inc Plug & Pins,$ 406.00,9356450004527
HT-059903,CAN Expansion,IO Expander Boxes,HT-059903 IO 12 Expander Box B - CAN Based 12 Channel inc Plug & Pins,$ 406.00,9356450004534
HT-059904,CAN Expansion,IO Expander Boxes,HT-059904 IO 12 Expander Box A - Flying Lead Harness 2.5m Length: 2.5m (8),$ 495.00,9356450004541
HT-059905,CAN Expansion,IO Expander Boxes,HT-059905 IO 12 Expander Box B -  Flying Lead Harness 2.5m Length: 2.5m (8),$ 495.00,9356450004558
HT-011600,CAN Expansion,TMS Transmission Modules,HT-011600 TMS-4 - With internal sensors,$ 205.00,9356450008945
HT-011601,CAN Expansion,TMS Transmission Modules,HT-011601 TMS-4 - With external sensors,$ 205.00,9356450008952
Digital Displays,,,,,
HT-060400,Digital Displays,Cameras and Accessories,HT-060400 Haltech Reverse / Back-up Camera Kit,$ 92.00,9356450016162
HT-061010,Digital Displays,Gauges,"HT-061010 Haltech gaugeART CAN OLED Gauge 2""/52mm Size: 52mm (2"")",$ 430.00,9356450004985
HT-067010,Digital Displays,IC-7 Display Dash,HT-067010 Haltech IC-7 7in Color Dash Kit Size: 7in,$ 1195.00,9356450005043
HT-067012,Digital Displays,IC-7 Display Dash,HT-067012 Haltech IC-7 OBD-II 7in color display Dash Size: 7in,$ 1195.00,9356450005050
HT-067014,Digital Displays,IC-7 Display Dash,"HT-067014 Haltech Stand Alone IC-7 Colour Dash ""Classic"" Install kit - CAN Size: 7in",$ 1875.00,9356450011761
HT-068000,Digital Displays,uC-10 Display Dash,HT-068000 Haltech uC-10 Display Dash Size: 10in,$ 1995.00,9356450014847
ECU - Engine Management,,,,,
HT-150900,ECU - Engine Management,Elite 1500,Elite 1500 ECU,$ 1599.00,9356450007399
HT-150901,ECU - Engine Management,Elite 1500,HT-150901 Elite 1500 ECU + Plug and Pin Set,$ 1684.00,9356450012034
